Frame,R,G,B,WW,CW
266,19,0,101,0,83
267,19,0,101,0,83
268,19,0,101,0,83
269,19,0,101,0,83
270,19,0,101,0,83
271,19,0,101,0,83
272,19,0,101,0,83
273,19,0,101,0,83
274,19,0,101,0,83
275,19,0,101,0,83
276,19,0,101,0,83
277,19,0,101,0,83
278,19,0,101,0,83
279,25,0,164,0,177
280,25,0,164,0,177
281,25,0,164,0,177
282,25,0,164,0,177
283,25,0,164,0,177
284,25,0,164,0,177
285,25,0,164,0,177
286,25,0,164,0,177
287,25,0,164,0,177
288,25,0,164,0,177
289,25,0,164,0,177
290,25,0,164,0,177
291,25,0,164,0,177
292,25,0,164,0,177
293,25,0,164,0,177
294,25,0,164,0,177
295,25,0,164,0,177
296,25,0,164,0,177
297,25,0,164,0,177
298,25,0,164,0,177
299,25,0,164,0,177
300,25,0,164,0,177
301,25,0,164,0,177
302,25,0,164,0,177
303,25,0,164,0,177
304,25,0,164,0,177
305,25,0,164,0,177
306,25,0,164,0,177
307,25,0,164,0,177
308,25,0,164,0,177
309,25,0,164,0,177
310,25,0,164,0,177
311,25,0,164,0,177
312,16,0,105,0,80
313,16,0,105,0,80
314,16,0,105,0,80
315,16,0,105,0,80
316,16,0,105,0,80
317,16,0,105,0,80
318,16,0,105,0,80
319,16,0,105,0,80
320,37,0,109,0,88
321,37,0,109,0,88
322,37,0,109,0,88
323,37,0,109,0,88
324,37,0,109,0,88
325,37,0,109,0,88
326,37,0,109,0,88
327,37,0,109,0,88
328,37,0,109,0,88
329,37,0,109,0,88
330,37,0,109,0,88
331,37,0,109,0,88
332,37,0,109,0,88
333,37,0,109,0,88
334,37,0,109,0,88
335,37,0,109,0,88
336,37,0,109,0,88
337,21,0,240,0,126
338,21,0,240,0,126
339,21,0,240,0,126
340,21,0,240,0,126
341,21,0,240,0,126
342,21,0,240,0,126
343,21,0,240,0,126
344,21,0,240,0,126
345,21,0,240,0,126
346,21,0,240,0,126
347,21,0,240,0,126
348,21,0,240,0,126
349,21,0,240,0,126
350,21,0,240,0,126
351,37,0,97,0,95
352,37,0,97,0,95
353,37,0,97,0,95
354,37,0,97,0,95
355,37,0,97,0,95
356,37,0,97,0,95
357,37,0,97,0,95
358,37,0,97,0,95
359,37,0,97,0,95
360,37,0,97,0,95
361,23,0,123,0,89
362,23,0,123,0,89
363,23,0,123,0,89
364,23,0,123,0,89
365,23,0,123,0,89
366,23,0,123,0,89
367,23,0,123,0,89
368,23,0,123,0,89
369,23,0,123,0,89
370,23,0,123,0,89
371,23,0,123,0,89
372,23,0,123,0,89
373,23,0,123,0,89
374,23,0,123,0,89
375,23,0,123,0,89
376,23,0,123,0,89
377,23,0,123,0,89
378,23,0,123,0,89
379,23,0,123,0,89
380,23,0,123,0,89
381,23,0,123,0,89
382,23,0,123,0,89
383,23,0,123,0,89
384,23,0,123,0,89
385,23,0,123,0,89
386,23,0,123,0,89
387,10,0,52,0,57
388,10,0,52,0,57
389,10,0,52,0,57
390,10,0,52,0,57
391,10,0,52,0,57
392,10,0,52,0,57
393,10,0,52,0,57
394,10,0,52,0,57
395,10,0,52,0,57
396,10,0,52,0,57
397,10,0,52,0,57
398,10,0,52,0,57
399,10,0,52,0,57
400,10,0,52,0,57
401,10,0,52,0,57
402,10,0,52,0,57
403,10,0,52,0,57
404,10,0,52,0,57
405,10,0,52,0,57
406,10,0,52,0,57
407,10,0,52,0,57
408,10,0,52,0,57
409,10,0,52,0,57
410,10,0,52,0,57
411,10,0,52,0,57
412,10,0,52,0,57
413,10,0,52,0,57
414,10,0,52,0,57
415,10,0,52,0,57
416,10,0,52,0,57
417,10,0,52,0,57
418,10,0,52,0,57
419,10,0,52,0,57
420,10,0,52,0,57
421,10,0,52,0,57
422,31,0,124,0,89
423,31,0,124,0,89
424,31,0,124,0,89
425,31,0,124,0,89
426,31,0,124,0,89
427,31,0,124,0,89
428,31,0,124,0,89
429,31,0,124,0,89
430,31,0,124,0,89
431,31,0,124,0,89
432,31,0,124,0,89
433,31,0,124,0,89
434,31,0,124,0,89
435,31,0,124,0,89
436,31,0,124,0,89
437,31,0,124,0,89
438,31,0,124,0,89
439,31,0,124,0,89
440,31,0,124,0,89
441,31,0,124,0,89
442,31,0,124,0,89
443,31,0,124,0,89
444,31,0,124,0,89
445,8,0,30,0,44
446,8,0,30,0,44
447,8,0,30,0,44
448,8,0,30,0,44
449,8,0,30,0,44
450,8,0,30,0,44
451,8,0,30,0,44
452,8,0,30,0,44
453,26,0,183,0,160
454,26,0,183,0,160
455,26,0,183,0,160
456,26,0,183,0,160
457,26,0,183,0,160
458,26,0,183,0,160
459,26,0,183,0,160
460,26,0,183,0,160
461,26,0,183,0,160
462,26,0,183,0,160
463,26,0,183,0,160
464,26,0,183,0,160
465,26,0,183,0,160
466,26,0,183,0,160
467,26,0,183,0,160
468,26,0,183,0,160
469,26,0,183,0,160
470,26,0,183,0,160
471,26,0,183,0,160
472,26,0,183,0,160
473,26,0,183,0,160
474,26,0,183,0,160
475,26,0,183,0,160
476,26,0,183,0,160
477,26,0,183,0,160
478,26,0,183,0,160
479,26,0,183,0,160
480,26,0,183,0,160
481,26,0,183,0,160
482,26,0,183,0,160
483,35,0,107,0,64
484,35,0,107,0,64
485,35,0,107,0,64
486,35,0,107,0,64
487,35,0,107,0,64
488,35,0,107,0,64
489,35,0,107,0,64
490,35,0,107,0,64
491,20,0,97,0,66
492,20,0,97,0,66
493,20,0,97,0,66
494,20,0,97,0,66
495,20,0,97,0,66
496,20,0,97,0,66
497,20,0,97,0,66
498,20,0,97,0,66
499,20,0,97,0,66
500,20,0,97,0,66
