Frame,R,G,B,WW,CW
266,35,0,83,0,70
267,35,0,83,0,70
268,35,0,83,0,70
269,35,0,83,0,70
270,35,0,83,0,70
271,35,0,83,0,70
272,35,0,83,0,70
273,35,0,83,0,70
274,35,0,83,0,70
275,35,0,83,0,70
276,35,0,83,0,70
277,35,0,83,0,70
278,35,0,83,0,70
279,35,0,83,0,70
280,35,0,83,0,70
281,35,0,83,0,70
282,35,0,83,0,70
283,35,0,83,0,70
284,35,0,83,0,70
285,35,0,83,0,70
286,35,0,83,0,70
287,35,0,83,0,70
288,35,0,83,0,70
289,35,0,83,0,70
290,35,0,83,0,70
291,35,0,83,0,70
292,35,0,83,0,70
293,35,0,83,0,70
294,35,0,83,0,70
295,35,0,83,0,70
296,35,0,83,0,70
297,35,0,83,0,70
298,35,0,83,0,70
299,35,0,83,0,70
300,8,0,60,0,52
301,8,0,60,0,52
302,8,0,60,0,52
303,8,0,60,0,52
304,8,0,60,0,52
305,8,0,60,0,52
306,8,0,60,0,52
307,8,0,60,0,52
308,8,0,60,0,52
309,8,0,60,0,52
310,8,0,60,0,52
311,8,0,60,0,52
312,8,0,60,0,52
313,8,0,60,0,52
314,8,0,60,0,52
315,8,0,60,0,52
316,8,0,60,0,52
317,8,0,60,0,52
318,8,0,60,0,52
319,8,0,60,0,52
320,8,0,60,0,52
321,8,0,60,0,52
322,8,0,60,0,52
323,8,0,60,0,52
324,8,0,60,0,52
325,8,0,60,0,52
326,8,0,60,0,52
327,8,0,60,0,52
328,8,0,60,0,52
329,8,0,60,0,52
330,8,0,60,0,52
331,8,0,60,0,52
332,8,0,60,0,52
333,8,0,60,0,52
334,8,0,60,0,52
335,8,0,60,0,52
336,21,0,98,0,63
337,21,0,98,0,63
338,21,0,98,0,63
339,21,0,98,0,63
340,21,0,98,0,63
341,21,0,98,0,63
342,21,0,98,0,63
343,21,0,98,0,63
344,21,0,98,0,63
345,21,0,98,0,63
346,21,0,98,0,63
347,21,0,98,0,63
348,21,0,98,0,63
349,21,0,98,0,63
350,21,0,98,0,63
351,21,0,98,0,63
352,21,0,98,0,63
353,21,0,98,0,63
354,21,0,98,0,63
355,21,0,98,0,63
356,21,0,98,0,63
357,21,0,98,0,63
358,21,0,98,0,63
